SMILES,MF
CC(C)CCCCCCCCCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)C(O)O,C23H48O8
CCCCCCCCCCCCCCCCCCOCCCN(C)C,C23H49NO
[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(Br)C(=O)C=C3Oc4c2cc(Br)c([O-])c4C5=CC=C[Hg]5,C24H10Br2HgNa2O5
O=C1NC(=O)c2ccc3c4ccc5C(=O)NC(=O)c6ccc(c7ccc1c2c37)c4c56,C24H10N2O4
C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C2)C=C7,C24H12
c1ccc2c(c1)ccc3c2cc4cccc5c6ccccc6c3c45,C24H14
Clc1ccc(Cl)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4ccc5NC(=O)Nc5c4)c1,C24H15Cl2N5O3
Cc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(Cl)c(Cl)cc4Cl)\C2=O,C24H16Cl3N3O2
N#Cc1ccccc1/C=C/c2ccc(cc2)/C=C/c3ccccc3C#N,C24H16N2
N#Cc1ccc(C=Cc2ccc(cc2)C=Cc3cccc(c3)C#N)cc1,C24H16N2
COc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(Cl)ccc4Cl)\C2=O,C24H17Cl2N3O3
Cc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4ccc(Cl)cc4[N+]([O-])=O)/C2=O,C24H17ClN4O4
Cc1ccc(cc1N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4ccccc4)[N+]([O-])=O,C24H18N4O4
[Na+].[Na+].CCN1C(=O)C(=N/Nc2cc(Nc3nc(F)nc(Nc4cc(ccc4Cl)[S]([O-])(=O)=O)n3)ccc2[S]([O-])(=O)=O)\C(=C(C(N)=O)C1=O)C,C24H19ClFN9Na2O9S2
[Na+].CC1=NN(C(=O)C1N=Nc2cccc(c2)[S](=O)(=O)NCCc3ccccc3)c4cc(Cl)c(cc4Cl)[S]([O-])(=O)=O,C24H20Cl2N5NaO6S2
[Na+].Cc1ccc(N[S](=O)(=O)c2cc(NNC3=C4C(=O)C=C(C=C4C=CC3=N)[S]([O-])(=O)=O)ccc2Cl)c(C)c1,C24H20ClN4NaO6S2
CCOc1nc2cccc(C(O)=O)c2n1Cc3ccc(cc3)c4ccccc4c5n[nH]nn5,C24H20N6O3
[O-][N+](=O)c1ccc(cc1)N=Nc2ccc(cc2)N(CCOC(=O)c3ccccc3)CCC#N,C24H21N5O4
[Na+].[Na+].[Na+].OC(=O)C1=CC(CC=C1O)(Nc2nc(NC3(CC=C(O)C(=C3)C(O)=O)[S]([O-])(=O)=O)nc(NC4(CC=C(O)C(=C4)C(O)=O)[S]([O-])(=O)=O)n2)[S]([O-])(=O)=O,C24H21N6Na3O18S3
[Na+].Cc1cc(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)cc(c1C)[S](=O)(=O)NCCO,C24H22N3NaO8S2
[Rh].CC(=O)[CH-]C(C)=O.[C-]#[O+].c1ccc(cc1)P(c2ccccc2)c3ccccc3,C24H22O3PRh-
CC(C)(COCc1cccc(Oc2ccccc2)c1)c3ccc(OC(F)(F)Br)cc3,C24H23BrF2O3
CN1CCC23C4=C5C=CC(OCC6=CC=CC=C6)=C4OC2C(O)C=CC3C1C5,C24H25NO3
CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,C24H25NO3
CN1CC[C@]23[C@H]4Oc5c(OCc6ccccc6)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,C24H25NO3
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,C24H26N2O4
CC(Cc1cccc(CC(C)c2ccc(O)cc2)c1)c3ccc(O)cc3,C24H26O2
CCOc1cc(N=Nc2cc(cc(c2Br)[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,C24H27BrN6O10
Cn1nc(C)c(\C=N\OCc2ccc(cc2)C(=O)OC(C)(C)C)c1Oc3ccccc3,C24H27N3O4
CC(C)C1=C(SC2=C(C=C(\C=C\C(=O)N3CCN(CC3)C(C)=O)C=C2)[N+]([O-])=O)C=CC=C1,C24H27N3O4S
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c2ccccc2,C24H27NO2
CN1CCC23C4=C5C=CC(OCC6=CC=CC=C6)=C4OC2CCCC3C1C5,C24H27NO2
Cc1cc(C)cc(O[P](=O)(Oc2cc(C)cc(C)c2)Oc3cc(C)cc(C)c3)c1,C24H27O4P
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,C24H28N2
CCCCCCCC(=O)OCN1C(=O)NC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3,C24H28N2O4
CC(C)(C)CC(C)(C)N(c1ccccc1)c2cccc3ccccc23,C24H29N
CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=N[NH]3)C(C(C)C)C(O)=O,C24H29N5O3
CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3n[nH]nn3)[C@@H](C(C)C)C(O)=O,C24H29N5O3
CC(C)C1(O)CCN2CC3C4=C(CCC5=C3C(=CC=C5)C2C1)C=CC=C4,C24H29NO
CSC(=O)C1(OC(C)=O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,C24H31FO5S
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,C24H31FO6
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(C)=O,C24H31FO6
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O,C24H31FO6
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,C24H31FO6
CCCCCCOC(=O)c1ccccc1C(=O)c2ccc(cc2O)N(CC)CC,C24H31NO4
CCC(Cc1ccc(C)cc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,C24H32N2O2
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,C24H32O4
CC(=O)OC1(CCC2C3CC(=C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O,C24H32O4
C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(OC(=O)C)C4(C)CCC3C2(C)C1,C24H32O4
O=C(OC(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2SC(=O)C)C4)(C3)C)(C4)C5)C5,C24H32O4S
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,C24H32O4S
CCC(C)C(N)C(=O)OCCCCOC(=O)C(C)C1=CC2=CC=C(OC)C=C2C=C1,C24H33NO5
CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC,C24H34Br4O4
CCC(COCC(CC)(COC(=O)C=C)COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C24H34O9
CCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,C24H36O3
CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4=O)C3CC=C2C1,C24H36O3
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,C24H36O5
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,C24H38O4
CCCCC(CC)COC(=O)c1ccc(cc1)C(=O)OCC(CC)CCCC,C24H38O4
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,C24H38O4
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,C24H38O4
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C24H40O3
CCCC(CC)COC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,C24H40O3
CC(CCC(O)=O)C1CCC2C3C(O)CC4CCCCC4(C)C3CCC12C,C24H40O3
CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,C24H40O3
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C24H40O4
O=C(O)CCC(C(C(C(C(C(C(C(C1)CC(O)C2)(C2)C)C3)C1)C4)(C3O)C)C4)C,C24H40O4
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,C24H40O4
CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,C24H40O4
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C24H40O4
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C24H40O4
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C24H40O5
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,C24H40O5
CC(CCC(O)=O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,C24H40O5
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C24H40O5
CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1.CC(O)C(O)=O,C24H41N3O7
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,C24H42O
CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC,C24H44Cl6
O=C1CCCCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCCCN1,C24H44N4O4
CCCCC(CC)COC(=O)C1CCC(CC1)C(=O)OCC(CC)CCCC,C24H44O4
CC(C)CCCCCCCOC(=O)\C=C\C(=O)OCCCCCCCC(C)C,C24H44O4
CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,C24H44O6
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,C24H45BCo3O9
[Cr+3].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,C24H45CrO6
[Na+].CC(C)CCCCCCCOC(=O)CC(C(=O)OCCCCCCCC(C)C)[S]([O-])(=O)=O,C24H45NaO7S
CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,C24H46O4
CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,C24H46O4
[Zn++].CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O,C24H46O4Zn
CCCCC(CC)C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)C(CC)CCCC,C24H46O6
CCCCCCCCCCCCCCCCOC(=O)C(CC)CCCC,C24H48O2
CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,C24H48O2
CCCC[Sn++]CCCC.CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,C24H48O4Sn
CC1(C)CC(CC(C)(C)N1)NCCCCCCNC2CC(C)(C)NC(C)(C)C2,C24H50N4
CCCCCCCCCCCCCCCCCCCCCCCCO,C24H50O
CCCCCCCCCCCCC(CO)CCCCCCCCCC,C24H50O
OCCCOCC(OCCCO)C(OCCCO)C(OCCCO)C(COCCCO)OCCCO,C24H50O12
CCCCCCCCCC(C)(C)SSC(C)(C)CCCCCCCCC,C24H50S2
CC(C)CCCCCN(CCCCCC(C)C)CCCCCC(C)C,C24H51N
CCCCCCCCN(CCCCCCCC)CCCCCCCC,C24H51N
CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC,C24H51N
CCCCCCCC\C=C/CCCCCCCCNCCCNCCCN,C24H51N3
CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,C24H51O4P
OCCN(CCO)CCO.OCCN(CCO)CCO.OC(=O)CCCCCCCCCCC(O)=O,C24H52N2O10
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,C24H52O4P2S4Zn
CCC(CC)CO[Si](OCC(CC)CC)(OCC(CC)CC)OCC(CC)CC,C24H52O4Si
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,C24H54OSn2
O=C1OC(=O)c2ccc3c4ccc5C(=O)OC(=O)c6ccc(c7ccc1c2c37)c4c56,C24H8O6
[Na+].[Na+].[Na+].[Na+].[Na+].Nc1nc(Cl)nc(Nc2ccc(c(N\N=C/3C(=O)c4c(N)c(N=Nc5cc(ccc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(cc4C=C3[S]([O-])(=O)=O)[S]([O-])(=O)=O)c2)[S]([O-])(=O)=O)n1,C25H14ClN10Na5O16S5
Nc1ccc(cc1Cl)C2(c3ccc(N)c(Cl)c3)c4ccccc4c5ccccc25,C25H18Cl2N2
COCCCN1C(=O)c2ccc3C(=O)n4c5ccc(C)cc5nc4c6ccc(C1=O)c2c36,C25H19N3O4
Cc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4ccc(cc4C)[N+]([O-])=O)/C2=O,C25H20N4O4
COc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4ccc(cc4)C(N)=O)/C2=O,C25H20N4O4
[Na+].CN(c1ccccc1)[S](=O)(=O)C2=CC(=O)C3=C(NNc4ccc(NC(=O)CCl)cc4[S]([O-])(=O)=O)C(=N)C=CC3=C2,C25H21ClN5NaO7S2
[Na+].CCOc1ccc(C)cc1N=Nc2ccc(N=Nc3cccc(c3)[S]([O-])(=O)=O)c4ccccc24,C25H21N4NaO4S
CC(=O)C(N=Nc1ccc(cc1)C(=O)Nc2ccc(cc2)C(N)=O)C(=O)Nc3ccc4NC(=O)Nc4c3,C25H21N7O5
CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,C25H22ClNO3
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,C25H22ClNO3
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,C25H22ClP
CC1(C)CNC(=NC1)N\N=C(/C=C/c2ccc(cc2)C(F)(F)F)\C=C\c3ccc(cc3)C(F)(F)F,C25H24F6N4
CCOCCCN[S](=O)(=O)c1ccc(Oc2cc(O)c3C(=O)c4ccccc4C(=O)c3c2N)cc1,C25H24N2O7S
[I-].CCN1C=CC(=CC=Cc2cc[n+](CC)c3ccccc23)c4ccccc14,C25H25IN2
CC1=CC=CC(CN2CCN(C(C3=CC=CC=C3)C3=CC=C(Cl)C=C3)CC2)=C1,C25H27ClN2
COC1=CC=C2C=C(C=CC2=C1)C(C)C(=O)OCCOC(=O)C(N)CC3=CC=CC=C3,C25H27NO5
COC1=CC=C2C=C(C=CC2=C1)C(C)C(=O)OC(C)OC(=O)C(N)CC3=CC=CC=C3,C25H27NO5
CCOc1ccc(cc1)C(C)(C)COCc2cccc(Oc3ccccc3)c2,C25H28O3
CC(C)(c1ccc(OCCOC(=O)C=C)cc1)c2ccc(OCCOC(=O)C=C)cc2,C25H28O6
CCOc1ccc(cc1)[Si](C)(C)CCCc2ccc(F)c(Oc3ccccc3)c2,C25H29FO2Si
[Cl-].CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,C25H30ClN3
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,C25H30N2O4
CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O,C25H31FO8
CC(=O)OCC(=O)C1(O)C(CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)OC(C)=O,C25H31FO8
CN(C)c1ccc(cc1)C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,C25H31N3
CCN(CC)c1ccc(cc1)C=CC2=[N+](C)c3ccccc3C2(C)C.CC([O-])=O,C25H32N2O2
CC(C)c1cccc(C(C)C)c1N=C=Nc2c(cccc2C(C)C)C(C)C,C25H34N2
CC(C)(C)C(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,C25H34O3
CCCCC(CC)CN[S](=O)(=O)c1ccc(cc1)N=NC2=C(O)N(CCCC)C(=O)C(=C2C)C#N,C25H35N5O4S
CCc1cc(Cc2cc(CC)cc(c2O)C(C)(C)C)c(O)c(c1)C(C)(C)C,C25H36O2
CC1(OCCO1)C2CCC3C4=CC=C5CC6(CCC5(C)C4CCC23C)OCCO6,C25H36O4
CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(CCC4(C)C3CCC12C)C(O)=O,C25H37NO3
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,C25H38O5
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,C25H38O5
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,C25H40O4
CCCCCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)c1ccccc1,C25H41AlO5
CCCCCCCCSCc1cc(C)c(O)c(CSCCCCCCCC)c1,C25H44OS2
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,C25H48N6O8
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,C25H50O4
O=C1n2c3ccccc3nc2c4ccc5C(=O)n6c7ccccc7nc6c8ccc1c4c58,C26H12N4O2
O=C1n2c3ccccc3nc2c4ccc5c6nc7ccccc7n6C(=O)c8ccc1c4c58,C26H12N4O2
CN1C(=O)c2ccc3c4ccc5C(=O)N(C)C(=O)c6ccc(c7ccc(C1=O)c2c37)c4c56,C26H14N2O4
[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,C26H16N4Na2O8S2
O=C1c2cccc(Sc3ccccc3)c2C(=O)c4c(Sc5ccccc5)cccc14,C26H16O2S2
[Na+].[Na+].[Na+].Cc1ccccc1Nc2nc(Cl)nc(Nc3cc(cc4C=C(/C(=N/Nc5ccccc5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2,C26H17ClN7Na3O10S3
[Na+].[Na+].[Na+].CN(c1ccc2c(c1)C=C(/C(=N/Nc3ccccc3[S]([O-])(=O)=O)C2=O)[S]([O-])(=O)=O)c4nc(Cl)nc(Nc5cccc(c5)[S]([O-])(=O)=O)n4,C26H17ClN7Na3O10S3
[Na+].[Na+].Nc1ccc2C(=O)C(=N/Nc3ccc4C(=O)C(=N/Nc5ccccc5)\C(=Cc4c3)[S]([O-])(=O)=O)/C(=Cc2c1)[S]([O-])(=O)=O,C26H17N5Na2O8S2
Nc1c(Oc2ccccc2)c(Oc3ccccc3)c(N)c4C(=O)c5ccccc5C(=O)c14,C26H18N2O4
[Na+].[Na+].Cc1ccc(cc1[S]([O-])(=O)=O)[S](=O)(=O)c2cc(NC(=O)C(Br)=C)ccc2N=Nc3c(N)ccc4cc(ccc34)[S]([O-])(=O)=O,C26H19BrN4Na2O9S3
CC(=O)Nc1ccc(NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(ccc4Cl)C(N)=O)/C2=O)cc1,C26H20ClN5O4
O=C(Nc1ccccc1SSc2ccccc2NC(=O)c3ccccc3)c4ccccc4,C26H20N2O2S2
CCOc1ccc(cc1)C2(CC2(Cl)Cl)C(=O)OC(C#N)c3cccc(Oc4ccccc4)c3,C26H21Cl2NO4
CC1(C)[C@@H](\C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,C26H21F6NO5
[Na+].[Na+].[Na+].[Na+].Nc1c(N=Nc2ccc(cc2)[S](=O)(=O)CCO[S]([O-])(=O)=O)c(cc3C=C(/C(=N/Nc4ccc(cc4)[S](=O)(=O)CCO[S]([O-])(=O)=O)C(=O)c13)[S]([O-])(=O)=O)[S]([O-])(=O)=O,C26H21N5Na4O19S6
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccc(Br)cc2)c1)c3ccc(OC(F)F)cc3,C26H22BrF2NO4
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,C26H22ClF3N2O3
[Na+].CC(Nc1ccc(N\N=C\2C=C(c3ccccc3C2=O)[S]([O-])(=O)=O)c(C)c1)C(=O)c4ccccc4,C26H22N3NaO5S
[Na+].[Na+].COc1cc(c(C)cc1NC(=O)C(N=Nc2ccc(cc2)c3sc4c(ccc(C)c4[S]([O-])(=O)=O)n3)C(C)=O)[S]([O-])(=O)=O,C26H22N4Na2O9S3
CCOc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4ccc(cc4)C(N)=O)\C2=O,C26H22N4O4
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,C26H23F2NO4
[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(F)nc(NCCOCC[S](=O)(=O)C=C)n2)ccc1N=Nc3cc4c(cc(cc4[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc3[S]([O-])(=O)=O,C26H23FN9Na3O13S4
CC(C)(C)c1ccc2oc(nc2c1)c3sc(cc3)c4oc5ccc(cc5n4)C(C)(C)C,C26H26N2O2S
[NH4+].[Na+].COc1cc(c(C)cc1NC(=O)C(N=Nc2ccc(cc2)c3sc4c(ccc(C)c4[S]([O-])(=O)=O)n3)C(C)=O)[S]([O-])(=O)=O,C26H26N5NaO9S3
Cc1cc(C)c(c(C)c1)C(=O)[P](=O)(C(=O)c2c(C)cc(C)cc2C)c3ccccc3,C26H27O3P
C1CN(CCN1C\C=C\C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,C26H28N2
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,C26H29Cl2N5O3
CCC(/C1=CC=CC=C1)=C(\C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3,C26H29NO
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)C5=CC=CC=C5,C26H32O3
CC(C)(O)C(=O)c1ccc(cc1)C2(C)CC(C)(C)c3cc(ccc23)C(=O)C(C)(C)O,C26H32O4
CC(C)(O)C(=O)c1ccc(cc1)C2(C)CC(C)(C)c3ccc(cc23)C(=O)C(C)(C)O,C26H32O4
CC1CC2C3CCC(O)(C(=O)COC(=O)CCC(O)=O)C3(C)CC(O)C2C4(C)C=CC(=O)C=C14,C26H34O8
CCC(C)CCCOC(=O)CCc1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)C,C26H35N3O3
CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,C26H36O6
CCCC(C)c1cccc(OC(=O)NC)c1.CCC(CC)c2cccc(OC(=O)NC)c2,C26H38N2O4
CCCC(c1cc(c(O)cc1C)C(C)(C)C)c2cc(c(O)cc2C)C(C)(C)C,C26H38O2
CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(cc1Cl)C(=O)OCC,C26H40Cl2O5
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,C26H42O4
C[C@H](CCC(=O)NCC(O)=O)[C@H]1CCC2C3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)C3CC[C@]12C,C26H43NO5
C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C26H43NO5
C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C26H43NO6
O=C(NCC(=O)O)CCC(C(C(C(C(C(C(C(C1)CC(O)C2)(C2)C)C3)C1O)C4)(C3O)C)C4)C,C26H43NO6
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,C26H47O3P
CC1(C)CC(CC(C)(C)N1)N(CCCCCCN(C=O)C2CC(C)(C)NC(C)(C)C2)C=O,C26H50N4O2
CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,C26H50O10
CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,C26H50O4
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,C26H50O4
CCCCCCCC\C=C/CCCCCCCC(=O)N(CCCC)CCCC,C26H51NO
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCC,C26H52O2
CCCCCCCCCCCCCCCCCCCCCCCCCC,C26H54
CCCCCCCCC(O)=O.CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)CO,C26H54O10
CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.CO[S]([O-])(=O)=O,C26H57NO4S
CCCCCCCCCCCCCCCCCC(O)=O.NCCNCCNCCNCCN,C26H59N5O2
CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,C26H60
Clc1c(Cl)c(Cl)c2C(=O)C(c3ccc4cccc(N5C(=O)c6c(Cl)c(Cl)c(Cl)c(Cl)c6C5=O)c4n3)C(=O)c2c1Cl,C26H6Cl8N2O4
[Na+].[Na+].Nc1ccc2cc(c(N=Nc3ccc(N=Nc4cccc(C([O-])=O)c4O)c5ccccc35)c(O)c2c1)[S]([O-])(=O)=O,C27H17N5Na2O7S
[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1ccc(N\N=C/2C(=O)c3c(Nc4nc(Cl)nc(Nc5cccc(c5)[S]([O-])(=O)=O)n4)cc(cc3C=C2[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc1,C27H18ClN7Na4O16S5
[Na+].[Na+].OCC1=CC(=N/Nc2ccc(c3ccccc23)[S]([O-])(=O)=O)\C(=O)/C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C1=O,C27H18N4Na2O9S2
